submit_s,gpus,duration_s,nodes,power_w_per_gpu
714,2,300,1,330
1024,8,900,1,280
1776,24,600,3,400
2268,1,300,1,280
2551,8,7200,1,400
2638,24,1200,3,400
3127,8,5400,1,400
3471,1,900,1,350
3879,8,900,1,300
4720,8,600,1,280
5169,2,2700,1,330
5847,8,300,1,350
6456,2,3600,1,280
7081,8,2700,1,400
7337,2,300,1,300
8188,8,600,1,300
8351,16,1800,2,350
9061,8,900,1,330
9484,8,1800,1,280
10167,4,7200,1,300
10394,16,3600,2,330
11109,24,1200,3,330
11955,1,1200,1,280
12839,8,3600,1,330
12966,8,2700,1,300
13697,16,3600,2,350
13903,8,900,1,300
14725,24,7200,3,330
15549,32,3600,4,400
16017,8,1200,1,300
16598,16,600,2,280
16770,4,900,1,350
17440,2,3600,1,350
18110,16,7200,2,330
18736,1,600,1,400
19564,8,2700,1,280
19924,16,900,2,350
19987,8,7200,1,300
20566,2,1800,1,400
21249,8,900,1,330
22089,4,7200,1,400
22149,32,2700,4,350
22228,2,2700,1,330
22533,1,1200,1,400
22673,2,5400,1,280
23511,24,900,3,300
24246,16,7200,2,300
24577,24,3600,3,300
25189,8,1800,1,350
25936,8,5400,1,400
